case_id,repo,pr_number,pr_url,source_agent
001,Azure/azure-sdk-for-net,50357,https://github.com/Azure/azure-sdk-for-net/pull/50357,Copilot
002,Cap-go/capgo,1072,https://github.com/Cap-go/capgo/pull/1072,Devin
003,airbytehq/airbyte,62108,https://github.com/airbytehq/airbyte/pull/62108,Devin
004,ant-design/ant-design,54318,https://github.com/ant-design/ant-design/pull/54318,Copilot
005,calcom/cal.com,20996,https://github.com/calcom/cal.com/pull/20996,Devin
006,calcom/cal.com,21174,https://github.com/calcom/cal.com/pull/21174,Devin
007,celestiaorg/celestia-core,1948,https://github.com/celestiaorg/celestia-core/pull/1948,Copilot
008,celestiaorg/celestia-core,1991,https://github.com/celestiaorg/celestia-core/pull/1991,Copilot
009,christianhelle/apiclientcodegen,1199,https://github.com/christianhelle/apiclientcodegen/pull/1199,Copilot
010,coturn/coturn,1719,https://github.com/coturn/coturn/pull/1719,Copilot
011,crewAIInc/crewAI,1827,https://github.com/crewAIInc/crewAI/pull/1827,Devin
012,crewAIInc/crewAI,2790,https://github.com/crewAIInc/crewAI/pull/2790,Devin
013,demergent-labs/azle,3212,https://github.com/demergent-labs/azle/pull/3212,Copilot
014,dotnet/aspire,9399,https://github.com/dotnet/aspire/pull/9399,Copilot
015,dotnet/diagnostics,5499,https://github.com/dotnet/diagnostics/pull/5499,Copilot
016,dotnet/macios,23052,https://github.com/dotnet/macios/pull/23052,Copilot
017,dotnet/maui,30125,https://github.com/dotnet/maui/pull/30125,Copilot
018,dotnet/runtime,115795,https://github.com/dotnet/runtime/pull/115795,Copilot
019,dotnet/runtime,116257,https://github.com/dotnet/runtime/pull/116257,Copilot
020,elizaOS/eliza,5332,https://github.com/elizaOS/eliza/pull/5332,Cursor
021,esphome/esphome-devices,1170,https://github.com/esphome/esphome-devices/pull/1170,Copilot
022,formancehq/ledger,909,https://github.com/formancehq/ledger/pull/909,Devin
023,formbricks/formbricks,5829,https://github.com/formbricks/formbricks/pull/5829,Devin
024,freenet/freenet-core,1584,https://github.com/freenet/freenet-core/pull/1584,Devin
025,getsentry/sentry,94262,https://github.com/getsentry/sentry/pull/94262,Cursor
026,legions-developer/invoicely,23,https://github.com/legions-developer/invoicely/pull/23,Devin
027,liam-hq/liam,787,https://github.com/liam-hq/liam/pull/787,Devin
028,liam-hq/liam,1471,https://github.com/liam-hq/liam/pull/1471,Devin
029,liam-hq/liam,2089,https://github.com/liam-hq/liam/pull/2089,Claude_Code
030,marimo-team/marimo,4030,https://github.com/marimo-team/marimo/pull/4030,Devin
031,microsoft/Qcodes,7331,https://github.com/microsoft/Qcodes/pull/7331,Copilot
032,microsoft/TypeScript,61902,https://github.com/microsoft/TypeScript/pull/61902,Copilot
033,microsoft/TypeScript,61940,https://github.com/microsoft/TypeScript/pull/61940,Copilot
034,microsoft/react-native-gallery,601,https://github.com/microsoft/react-native-gallery/pull/601,Copilot
035,microsoft/testfx,6202,https://github.com/microsoft/testfx/pull/6202,Copilot
036,microsoft/vscode,250894,https://github.com/microsoft/vscode/pull/250894,Copilot
037,microsoft/vscode,251069,https://github.com/microsoft/vscode/pull/251069,Copilot
038,microsoft/vscode,251222,https://github.com/microsoft/vscode/pull/251222,Copilot
039,microsoft/vscode,253018,https://github.com/microsoft/vscode/pull/253018,Copilot
040,midudev/jsconf.es,97,https://github.com/midudev/jsconf.es/pull/97,Copilot
041,objectionary/eo,4320,https://github.com/objectionary/eo/pull/4320,Copilot
042,reflex-dev/reflex-web,1524,https://github.com/reflex-dev/reflex-web/pull/1524,Devin
043,robinroy03/videoeditor,79,https://github.com/robinroy03/videoeditor/pull/79,Cursor
044,rqlite/sql,75,https://github.com/rqlite/sql/pull/75,Copilot
045,shader-slang/slang,7947,https://github.com/shader-slang/slang/pull/7947,Copilot
046,shopware/shopware,8269,https://github.com/shopware/shopware/pull/8269,Devin
047,stack-auth/stack-auth,477,https://github.com/stack-auth/stack-auth/pull/477,Devin
048,stack-auth/stack-auth,494,https://github.com/stack-auth/stack-auth/pull/494,Devin
049,syncfusion/maui-toolkit,219,https://github.com/syncfusion/maui-toolkit/pull/219,Copilot
050,valkey-io/valkey-glide,4389,https://github.com/valkey-io/valkey-glide/pull/4389,Copilot
051,vercel/turborepo,10408,https://github.com/vercel/turborepo/pull/10408,Devin
052,HotCakeX/Harden-Windows-Security,781,https://github.com/HotCakeX/Harden-Windows-Security/pull/781,Copilot
053,ruvnet/claude-flow,149,https://github.com/ruvnet/claude-flow/pull/149,Claude_Code
054,crewAIInc/crewAI-tools,230,https://github.com/crewAIInc/crewAI-tools/pull/230,Devin
055,open-metadata/OpenMetadata,22311,https://github.com/open-metadata/OpenMetadata/pull/22311,Copilot
056,taiga-family/taiga-ui,11352,https://github.com/taiga-family/taiga-ui/pull/11352,Copilot
057,microsoft/vstest,15092,https://github.com/microsoft/vstest/pull/15092,Copilot
058,Azure/Azure-Sentinel,12466,https://github.com/Azure/Azure-Sentinel/pull/12466,Copilot
059,owncast/owncast,4354,https://github.com/owncast/owncast/pull/4354,Copilot
060,github/gh-gei,1355,https://github.com/github/gh-gei/pull/1355,Copilot
061,nylas/nylas-nodejs,614,https://github.com/nylas/nylas-nodejs/pull/614,Devin
062,reeze/php-leveldb,54,https://github.com/reeze/php-leveldb/pull/54,Devin
063,tomhrr/cosh,180,https://github.com/tomhrr/cosh/pull/180,Copilot
064,crewAIInc/crewAI,2113,https://github.com/crewAIInc/crewAI/pull/2113,Devin
