codex,broke_existing_contract_or_behavior,disproportionate_or_duplicative_solution,false_premise_about_existing_code,incomplete_change_propagation,masked_symptom_instead_of_fixing,misdiagnosed_root_cause,unverified_trial_and_error,vacuous_verification,violated_project_constraint_or_convention,wrong_baseline_or_branch
broke_existing_contract_or_behavior,2,0,0,0,0,0,0,0,1,0
disproportionate_or_duplicative_solution,0,2,0,0,0,0,0,0,0,0
false_premise_about_existing_code,0,0,5,1,2,0,1,1,0,0
incomplete_change_propagation,0,0,0,5,0,0,0,1,0,0
masked_symptom_instead_of_fixing,0,0,0,0,1,0,0,0,0,0
misdiagnosed_root_cause,1,0,1,0,2,5,0,1,0,0
unverified_trial_and_error,0,0,0,0,0,1,3,0,1,0
vacuous_verification,0,0,1,1,0,0,0,1,0,0
violated_project_constraint_or_convention,0,1,1,0,0,0,0,0,5,0
wrong_baseline_or_branch,0,0,0,0,0,0,0,0,0,2
